,enc,type,count
432,741,"Tuple[int, ...]",22
433,58,"""""""ks.Series[str]""""""",22
434,909,mx.Context,22
435,795,"Union[str, List[str]]",22
436,725,TransitionResult,22
437,119,CDPSession,21
438,581,Project,21
439,898,int128,21
440,671,StateType,21
441,168,ConsumerT,21
442,347,JournalDBCheckpoint,21
443,818,Variable,21
444,732,"Tuple[Any, ...]",21
445,236,"Dict[str, tf.Tensor]",21
446,748,"Tuple[str, int]",21
447,138,CanonicalIdentifier,21
448,976,tp.Sequence[Optim],21
449,555,Params,21
450,465,Nonce,21
451,847,_SubQuery,21
452,30,"""""""Point2""""""",21
453,94,AutomationActionType,21
454,76,AddonStopper,21
455,429,Match[str],21
456,350,K8SAPIClient,20
457,891,httputil.HTTPServerRequest,20
458,293,GroupIntegrationRegistry,20
459,472,Optional[AbstractFactory],20
460,309,HybridBlock,20
461,946,sublime.Edit,20
462,889,httputil.HTTPHeaders,20
463,344,JSON,20
464,944,str_t,20
465,680,SubmitMocks,20
466,128,"Callable[[DecoratedCallable], DecoratedCallable]",20
467,268,File,20
468,23,"""""""Model""""""",20
469,633,Sequence[Any],20
470,283,Future,20
471,593,ReaderHelper,20
472,779,"Union[Unit, Point2, Point3]",20
473,662,SourceFile,20
474,440,MockFixture,20
475,860,ast.ClassDef,20
476,871,bytearray,20
477,57,"""""""ks.Series[bool]""""""",20
478,861,ast.Compare,19
479,222,"Dict[str, List[Any]]",19
480,267,FieldDescriptorT,19
481,479,"Optional[Callable[[Any], None]]",19
482,446,ModelField,19
483,78,AddressHex,19
484,806,"Union[torch.Tensor, float]",19
485,445,ModelDescriptionAndData,19
486,259,Explanation,19
487,133,"Callable[[tf.Tensor], tf.Tensor]",19
488,316,IndexedTokenList,19
489,557,PartitionAssignorT,19
490,516,Optional[State],19
491,136,CancelMocks,19
492,640,ServiceCallType,19
493,665,SqlaTable,19
494,5,"""""""BaseDatasource""""""",19
495,961,torch.nn.Module,19
496,668,StateAPI,19
497,930,pd.Timestamp,19
498,862,ast.If,19
499,50,"""""""User""""""",19
500,852,aiohttp.ClientSession,19
501,213,"Dict[int, Set[int]]",18
502,934,requests.Response,18
503,282,FuncT,18
504,738,"Tuple[Tensor, Tensor]",18
505,504,Optional[List[Tuple]],18
506,416,LogType,18
507,110,BlockExpiration,18
508,251,Environment,18
509,947,sublime.View,18
510,284,FutureMessage,18
511,982,"typing.Dict[str, typing.Any]",18
512,548,Optional[torch.BoolTensor],18
513,336,Iterable[ServiceT],18
514,991,uuid.UUID,18
515,717,TracebackType,18
516,853,ap.BaseActivity,18
517,17,"""""""HomeAssistant""""""",18
518,696,Template,18
519,517,Optional[Stream],18
520,274,FlaskClient,18
521,922,ondisk.DNode,18
522,923,opentracing.Span,18
523,383,List[RouteState],18
524,715,TokenNetworkState,18
525,422,ManifestNode,18
526,563,PaymentID,18
527,768,"Union['Series', 'Index']",17
528,15,"""""""GradientDescentTrainer""""""",17
529,377,List[Message],17
530,322,InstaloaderContext,17
531,301,HeadersArg,17
532,955,torch.FloatTensor,17
533,503,"Optional[List[Dict[str, Any]]]",17
534,509,Optional[NpDtype],17
535,176,Coroutine,17
536,3,"""""""ArrayManager""""""",17
537,160,CompressionOptions,17
538,595,ReceiptAPI,17
539,51,"""""""UserInput""""""",17
540,199,DecodedEvent,17
541,618,SchemaT,17
542,475,Optional[Awaitable[None]],17
543,784,"Union[float, int]",17
544,387,List[StateChange],17
545,682,SupportedEncryption,17
546,62,A,17
547,338,Iterable[int],17
548,441,Mocker,17
549,369,List[Index],16
550,819,Vector3Like,16
551,2,"""""""Application""""""",16
552,776,"Union[Scalar, 'Series']",16
553,744,"Tuple[int, str]",16
554,560,Pattern,16
555,534,Optional[ast.AST],16
556,533,Optional[_ExcInfo],16
557,265,FeedDict,16
558,367,List[Future],16
559,96,Awaitable[RecordMetadata],16
560,414,LockedTransferSignedState,16
561,811,UserGroup,16
562,904,metrics.Batch,16
563,88,Args,16
564,239,Distribution,16
565,19,"""""""Iterable[Model]""""""",16
566,214,"Dict[int, int]",16
567,797,"Union[str, PathLike]",16
568,951,tf.Variable,16
569,137,Candidate,16
570,580,Profile,16
571,352,Key,16
572,321,Inspector,16
573,224,"Dict[str, List[str]]",16
574,71,AbstractStreamWriter,16
575,498,Optional[HeadersArg],16
576,569,Point2,16
577,389,List[Stream],16
578,850,_bytes,15
579,716,TopicT,15
580,361,List[Block],15
581,757,Type[ChainAPI],15
582,998,yaml.nodes.Node,15
583,179,Credentials,15
584,107,BigQueryRelation,15
585,902,markdown.Markdown,15
586,791,"Union[int, torch.device]",15
587,833,WithdrawAmount,15
588,450,Molecule,15
589,378,List[NettingChannelState],15
590,632,Sequence,15
591,500,Optional[Index],15
592,264,FeeAmount,15
593,385,List[ScanJob],15
594,709,TlsVersionEnum,15
595,893,httpx.Response,15
596,495,Optional[FrameType],15
597,375,List[LogMessage],15
598,547,Optional[timedelta],15
599,838,ZhaDeviceType,15
600,384,List[Run],15
601,892,httpx.Request,15
602,883,dt.datetime,15
603,575,Ports,15
604,854,argparse.ArgumentParser,14
605,32,"""""""Project""""""",14
606,827,WLEDDataUpdateCoordinator,14
607,722,TransactionContextAPI,14
608,328,InteractMocks,14
609,467,OT,14
610,163,ConditionTransform,14
611,145,ChannelT,14
612,340,Iterator,14
613,146,ChromecastInfo,14
614,341,Iterator[Port],14
615,319,InitiatorPaymentState,14
616,162,ConditionCheckerType,14
617,415,Locksroot,14
618,914,nn.Module,14
619,24,"""""""ModelField""""""",14
620,126,"Callable[[Any], Any]",14
621,700,TensorboardManager,14
622,247,EmailMessage,14
623,628,SelectionSpec,14
624,794,"Union[str, Iterable[str]]",14
625,885,ep.TensorType,14
626,962,torch.optim.Optimizer,14
627,559,PathLike,14
628,365,List[Dimension],14
629,988,"typing.Union[str, bytes]",14
630,997,websocket_api.ActiveConnection,14
631,673,StrOrURL,14
632,234,"Dict[str, tf.DType]",14
633,526,"Optional[Union[ArrayLike, Number]]",14
634,781,"Union[bool, str]",14
635,660,Slice,14
636,620,SearchStrategy[Ex],14
637,782,"Union[bytes, str]",14
638,880,datetime.timedelta,14
639,1,"""""""App""""""",14
640,346,JSON_TYPE,14
641,801,"Union[str, int, Resample]",14
642,520,Optional[Text],14
643,87,Application,14
644,528,"Optional[Union[int, Iterable]]",14
645,99,BalanceHash,14
646,7,"""""""CIMultiDict[str]""""""",14
647,141,ChainGaps,14
648,303,HelperTestSource,14
649,708,TimeSeriesSlice,14
650,941,st.SearchStrategy[np.dtype],14
651,82,Alert,13
652,95,Awaitable,13
653,29,"""""""Pipeline""""""",13
654,775,"Union[Path, str]",13
655,874,condition.ConditionCheckerType,13
656,564,PaymentWithFeeAmount,13
657,235,"Dict[str, tf.TensorShape]",13
658,542,Optional[list],13
659,212,"Dict[Tuple[int, int, int], float]",13
660,229,"Dict[str, bool]",13
661,314,IdMapper,13
662,186,Dashboard,13
663,598,RecordMetadata,13
664,882,dt,13
665,554,P,13
666,636,SerializedSQLiteStorage,13
667,413,LockedAmount,13
668,379,List[Node],13
669,65,ABY3PrivateTensor,13
670,257,Exchange,13
671,469,OpenHeadersArg,13
672,505,Optional[List[float]],13
673,252,EvalFnType,13
674,418,LoopState,13
675,652,Shape,13
676,436,MessageSentCallback,13
677,211,"Dict[Tuple[TokenNetworkAddress, Address], NettingChannelState]",13
678,987,"typing.Union[ClauseElement, str]",13
679,787,"Union[int, Tuple[int, int]]",13
680,868,behave.runner.Context,13
681,248,Engine,13
682,690,TargetAddress,13
683,53,"""""""_CodeWriter""""""",13
684,432,MediatorTransferState,13
685,949,tf.Operation,13
686,945,str_type,13
687,805,"Union[torch.Tensor, float, Tuple[float, float], List[float]]",13
688,13,"""""""Future[None]""""""",13
689,831,WindowSetT,13
690,865,ast.Try,13
691,473,Optional[Address],13
692,300,Headers,13
693,803,"Union[tf.Tensor, np.ndarray]",13
694,484,Optional[Dataset],13
695,297,HaUpdater,13
696,174,ControllerData,13
697,973,tp.List[str],13
698,219,"Dict[str, Dict[str, str]]",13
699,937,socket.AddressFamily,13
700,940,ssl.SSLContext,13
701,170,ContextConfig,12
702,397,"List[Tuple[str, torch.nn.Parameter]]",12
703,370,List[Instance],12
704,457,NL,12
705,371,List[Leaf],12
706,514,Optional[Sequence[Hashable]],12
707,513,Optional[ScanCommandExtraArguments],12
708,913,nn.HybridBlock,12
709,675,StreamReader,12
710,74,AdapterRequiredConfig,12
711,706,TfTensor,12
712,73,AccountState,12
713,812,UserId,12
714,27,"""""""OnionService""""""",12
715,808,Unit,12
716,910,mx.gluon.HybridBlock,12
717,430,MatrixTransport,12
718,258,ExecutionContext,12
719,532,Optional[WindowSize],12
720,295,HTTPResponse,12
721,381,List[Path],12
722,108,Block,12
723,597,Recipient,12
724,858,ast.BoolOp,12
725,990,utils.SendSecretRevealInNode,12
726,448,ModelType,12
727,209,"Dict[Edge, State]",12
728,759,Type[ModelT],12
729,780,"Union[bool, Tuple[float, float]]",12
730,992,vol.Schema,12
731,583,ProtectionReturn,12
732,626,Seed,12
733,317,Info,12
734,423,Mapper,12
735,832,WindowWrapperT,12
736,666,StarlineDevice,12
737,393,"List[Tuple[List[str], Dict[str, Any]]]",12
738,796,"Union[str, None]",12
739,25,"""""""MultiIndex""""""",12
740,603,RequestContext,12
